type,reason,note
Behavioral vs breeding difference,Displays breeding behavior away from breeding site,"The behavior (e.g., courtship displays for waterfowl, singing migrant songbirds) is observed but the species is not near a breeding site."
Behavioral vs breeding difference,Carrying food not necessarily for young,"In some predatory and scavenger species (e.g., raptors, gulls, corvids), captured food is routinely carried elsewhere to consume, so carrying food on a single occasion is not a sure indication that they are carrying it to young. Behavior that supports this code includes carrying food in the same direction repeatedly and carrying food deliberately into nesting habitat, especially when passing suitable locations for consuming."
Behavioral vs breeding difference,Nest-building not confirmation of breeding,"Some species construct multiple dummy nests or cavities that are not only used for nesting (e.g., woodpeckers and wrens). A follow-up visit is recommended to evaluate the persistence of breeding behavior."
Behavioral vs breeding difference,Not likely to breed in this region,"Some species can occur as vagrants, or wandering nonbreeders during the breeding season, and are assumed not to breed in the region (e.g., shorebirds moving through in summer). Some presumed non-breeders are worth investigating on a return visit, especially if habitat is appropriate."
Behavioral vs breeding difference,Fledglings may not have hatched locally,"Late in the breeding season, fledglings may have already dispersed away from breeding territory. Whenever observing fledglings, look for signs that the bird has hatched locally, such as undeveloped structural components like tail or wings, and continued dependence to adults. If you believe this bird was hatched in the block of observation, please provide comments."
Behavioral vs breeding difference,Too early in year to safely assume breeding,"This observation is too early in the year to for the behavior to suggest that the species is on breeding territory, or this is an unusually early date for this specific code or behavior. If you believe the bird is on territory, please explain why in the comments or check for the bird again later in the season."
Behavioral vs breeding difference,Too late in year to safely assume breeding,"This observation is too late in the year to assume the species is still on its breeding territory, or this is an unusually late date for this specific code or behavior. If you believe the bird is still on territory, please include comments."
Likely error,Apparent data-entry error,"This appears to be a typo or other data-entry mistake. Please check your records and confirm the code."
Likely error,Insufficient documentation,"Additional information is needed to support this breeding record. Comments indicating behavior, habitat, and anything else noteworthy about the observation are required."
Likely error,Changed because of photo/audio/video,"Media for this observation indicate the new code is most appropriate."
Likely error,Comments suggest upgrade or downgrade,"Comments on this observation indicate the new code is most appropriate."
Likely error,Code not suitable for species,"The breeding biology of this species suggests this code is very unlikely."
Likely error,Consider A or T instead of DD,"A true distraction display to protect young or nest often involves feigning an injury, or an extreme level of aggression towards a surveyor. In many cases, a Probable code is more appropriate. For example, agitated behavior [A] - e.g., a sparrow uttering agitated call notes; or interspecific territoriality [T] e.g., a kingbird pursuing a raptor. Please describe behavior in comments."
Likely error,Expected breeder at this time of year,"At this location and time of year, the species can be assumed to be on breeding territory and warrants assigning a breeding code."
Likely error,Pair code is not suitable,"The occurrence of two birds together is not meaningful in a breeding context (e.g., two vultures flying overhead or two hummingbirds of either sex at a feeder). P Pair should be used when both sexes of a sexually dimorphic species are observed interacting in correct habitat, or when prolonged interaction of non-sexually dimorphic species is observed."
Likely error,Vocalizations not indicative of breeding,"The S, S7, and M codes only have breeding meaning when birds are on breeding territory during the breeding season. Birds can vocalize year around, and in some cases vocalizations are not primarily used for advertisement of territory (e.g., corvids). Even in songbirds that regularly sing, some vocalization types do not qualify as a song (e.g., ''chip'' notes)."
